point_order,mtm points,mtm_dependent,notch_labels,alteration_type,pl_point_x,pl_point_y,pl_point_altered_x,pl_point_altered_y,movement_x,movement_y
11239,8000.0,8022.0,,,0.857,0.0,,,,
11241,8001.0,8000.0,,,0.857,2.5,,,,
11242,8002.0,8010.0,,,2.455,2.5,,,,
11244,,,,,2.455,2.559,,,,
11245,,,,,2.453,2.624,,,,
11246,,,,,2.45,2.699,,,,
11247,,,,,2.445,2.787,,,,
11248,8003.0,,,,2.438,2.887,,,,
11249,,,,,2.428,3.001,,,,
11250,,,notch,,2.414,3.136,,,,
11251,,,notch,,2.571,3.153,,,,
11253,,,,,2.391,3.334,,,,
11254,,,,,2.363,3.521,,,,
11255,,,,,2.325,3.692,,,,
11256,8004.0,,,,2.273,3.855,,,,
11257,,,,,2.205,4.017,,,,
11258,,,,,2.12,4.186,,,,
11259,,,,,2.019,4.359,,,,
11260,8005.0,,,,1.899,4.53,,,,
11261,,,,,1.755,4.697,,,,
11262,8006.0,,,,1.598,4.854,,,,
11263,,,,,1.435,4.997,,,,
11264,,,,,1.267,5.12,,,,
11265,,,,,1.092,5.217,,,,
11266,8007.0,,,,0.91,5.296,,,,
11267,,,,,0.701,5.367,,,,
11268,,,,,0.476,5.434,,,,
11269,,,notch,,0.44,5.444,,,,
11270,8008.0,,notch,,0.409,5.617,,,,
11271,,,notch,,0.289,5.489,,,,
11272,,,,,0.243,5.502,,,,
11273,,,,,0.0,5.572,,,,
11274,,,notch,,0.063,5.731,,,,
11275,,,notch,,0.238,5.746,,,,
11276,8009.0,8002.0,notch,,0.121,5.877,,,,
11277,,,,,0.445,6.691,,,,
11278,,,,,0.881,7.768,,,,
11279,,,,,1.322,8.842,,,,
11280,,,,,1.769,9.914,,,,
11281,,,,,2.221,10.982,,,,
11282,,,notch,,2.494,11.645,,,,
11283,,,notch,,2.669,11.657,,,,
11284,,,notch,,2.554,11.79,,,,
11286,8010.0,8014.0,,,2.619,11.948,,,,
11291,,,notch,,2.911,11.899,,,,
11292,,,notch,,2.963,11.731,,,,
11293,,,notch,,3.066,11.873,,,,
11294,,,,,3.103,11.867,,,,
11295,,,,,3.555,11.794,,,,
11296,,,,,3.991,11.729,,,,
11297,,,,,4.408,11.673,,,,
11298,,,,,4.808,11.628,,,,
11299,,,,,5.195,11.59,,,,
11300,,,,,5.575,11.557,,,,
11301,,,,,5.825,11.535,,,,
11302,8011.0,8011.0,,,6.07,11.515,,,,
11311,,,,,6.305,11.501,,,,
11312,,,,,6.542,11.494,,,,
11313,,,,,6.663,11.495,,,,
11314,,,,,6.768,11.496,,,,
11315,,,,,6.99,11.512,,,,
11316,,,,,7.214,11.537,,,,
11317,,,,,7.444,11.571,,,,
11318,,,,,7.676,11.619,,,,
11319,,,,,7.905,11.686,,,,
11320,,,,,8.127,11.775,,,,
11323,8012.0,8012.0,,,8.34,11.893,,,,
11327,,,,,8.547,12.032,,,,
11328,,,,,8.743,12.19,,,,
11329,,,,,8.911,12.358,,,,
11330,,,,,9.049,12.526,,,,
11331,,,,,9.163,12.692,,,,
11332,,,,,9.26,12.856,,,,
11333,,,,,9.344,13.017,,,,
11334,,,,,9.419,13.177,,,,
11336,8013.0,8013.0,,,9.482,13.338,,,,
11340,,,,,9.54,13.5,,,,
11341,,,,,9.593,13.668,,,,
11342,,,,,9.638,13.843,,,,
11343,,,,,9.674,14.028,,,,
11344,,,,,9.701,14.222,,,,
11345,,,notch,,9.717,14.374,,,,
11346,,,notch,,9.881,14.443,,,,
11347,,,notch,,9.729,14.531,,,,
11348,,,,,9.734,14.618,,,,
11349,,,,,9.739,14.797,,,,
11353,8014.0,8016.0,,,9.74,14.952,,,,
11354,,,notch,,9.909,14.92,,,,
11355,,,notch,,9.957,14.752,,,,
11356,,,notch,,10.063,14.892,,,,
11357,,,,,10.299,14.847,,,,
11358,,,,,10.948,14.736,,,,
11359,8015.0,8014.0,,,11.385,14.657,,,,
11368,,,,,11.908,14.573,,,,
11369,,,,,12.422,14.492,,,,
